,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
775,"Eligible workers are those with autonomous tasks that can be performed remotely, such as personnel from the accounting department or those in charge of users (excluding functions requiring physical presence or management roles). Employees must have a suitable home environment for telework, including a dedicated workspace and stable internet connection (Article 3).
- *","Telework is allowed for 1-2 days per week, with no more than two consecutive days of absence from the workplace. The specific days for each service are defined in the agreement (Article 8).
- *","Telework arrangements are established through a voluntary request by the employee, subject to manager approval within 15 days. Refusal to telework is not grounds for sanction or dismissal (Article 4).
- *","The company provides and maintains necessary equipment, such as laptops and mobile phones. Employees are responsible for ensuring the safety and proper use of the equipment (Article 10).
- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers. However, it does mention the importance of maintaining confidentiality and avoiding personal use of professional equipment (Article 11).",T00321001382-30933304500016
776,"Eligible employees include all titularized public or private right employees working full or part-time (minimum 80% of a full-time position) and CDDs with at least 12 months of presence in the establishment. Telework is not open to positions requiring physical presence or those incompatible with this form of organization (Article 2.2).
- *","Telework at home is allowed for 30 days per year, prorated for part-time employees, with a maximum of 3 days per month and 1 day per week. Days are flexible and not fixed (Article 2.1).
- *","Employees must submit a request via a provided form to their manager for approval. Approval is based on the employee's mastery of their post, autonomy, and the level of criticality of their operations and data (Article 2.3).
- *","Employees are responsible for direct costs, including internet, electricity, and insurance. The employer provides necessary equipment and software (Article 2.5.1 and 2.5.2).
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does emphasize the importance of respecting the employee's private life and not using or disseminating personal contact information (Article 2.6.4).

The document does not mention telework exceptionnel or the follow-up in commission paritaires.",T04322001530-18430003600011
777,"Eligible workers are those with functions supported at the company's headquarters, excluding the receptionist and R&D practical work. Business Planning roles are also eligible. Employees must have 6 months tenure, be autonomous, and have a suitable home office environment. Excluded are interns, apprentices, alternates, and part-time workers with less than 80% of full-time hours (Article 2.2).
- *","Telework is allowed one day per week, either Tuesday or Thursday, except during vacations, RTT days, or after professional travel (Article 3.1).
- *","Employees must request telework from their manager or the Direction. The Direction assesses eligibility and notifies the employee. A 5-day advance notice is required for each telework day (Article 3.2).
- *","The company provides an office laptop, cables, and a bag. The employee is responsible for the material's care and must return it upon request (Article 4.1).
- *","The right to disconnect is recognized, and employees must respect work hours and avoid excessive use of communication tools. Teleworkers have the same rights and obligations as on-site employees (Article 5.1).

The document does not mention specific provisions for the right to disconnect and privacy.",T07322003811-74562027800044
778,"**

- Eligible workers are those with a CDI, CDD of at least 6 months, or apprentices/CIFRE contracts.
- The activity must be realizable at a distance and not require specific tools or means.
- The employee must have autonomy and not require daily management.
- The employee's presence on site is required at least two days per week.
- Stagiaires can request telework, but priority is given to their on-site integration and supervision.

*","**

- Regular telework is allowed for up to 8 days per month, with at least two days of physical presence on site.
- Days of telework can be predetermined or variable, and must be reported in Horoquartz.

*","**

- Telework arrangements are established through a formalized process involving an entretien between the manager and the employee.
- The manager has discretion over the allowability of telework.

*","**

- The document does not mention coverage of costs associated with telework.

*","**

- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specifics on the coverage of costs associated with telework or provisions for the right to disconnect and the privacy of the worker.",T08921001558-54210303100028
779,"- Eligible workers: Employees with a CDI or CDD, working full-time or part-time (min. 80%), with at least six months seniority in their position, and performing a job compatible with telework.
- Excluded: Stagiaires, apprentis, and contract alternance workers.
- Not mentioned: Specific criteria for tenure, employment type, or job characteristics.

*","- Allowed frequency: Two days per week for full-time employees and one day per week for part-time employees (min. 80%).
- Minimum presence in the office: Three days per week.
- Not mentioned: Specific days or periods for telework.

*","- Establishment: Written request to the direct supervisor, who decides after an interview with the employee.
- Not mentioned: Manager's discretion or permission process.

*","- Not mentioned: Coverage of costs associated with telework, such as IT setup and meal allowance.

*","- Not mentioned: Provisions for the right to disconnect and the privacy of the worker.
- Not mentioned: Specific policies or guidelines related to privacy and the right to disconnect.

Note: The document does not mention specific policies or guidelines related to privacy, the right to disconnect, or coverage of costs associated with telework.",T05122004014-50955345900041
780,"- Eligible workers are those with a permanent contract, full-time or part-time (at least 80% of full-time), who have completed their probationary period and have at least 6 months of seniority in their role.
- Excluded are employees on training contracts, apprentices, and those in their trial period.

F","- Telework is allowed up to 2 days per week, with a minimum of 3 days of in-person work required.
- The company may limit the number of teleworkers to maintain business continuity.

A","- Telework arrangements are established through a mutual agreement between the employer and employee, with a 40-day response period for the employer.
- A 2-month notice period is required to terminate the telework agreement.

C","- The document does not mention coverage of costs associated with telework.

P","- The right to disconnect is recognized, and employees are encouraged to maintain a balance between their professional and personal lives.
- The document does not explicitly address privacy concerns related to telework.

Note: The document does not mention specific articles or sections for each category. The information provided is based on the overall content of the document.",T03422006863-32853833500824
781,"All employees in CDI, CDD, or apprenticeship contracts, working full or part-time, are eligible for telework (Article 1.3).
- F","Telework is allowed for up to 2 days per week, with a possibility of 3 days for specific cases (Article 2.5).
- A","Telework arrangements are established through a mutual agreement between the employee and the manager, with a 3-month adaptation period (Article 2.3).
- C","The company provides IT equipment and an allocation of 10€ per day of telework. Titles restaurants are still provided (Article 3.1 and 3.3).
- P","The right to disconnect is recognized, and a charter on the right to disconnect will be established (Article 2.9). The document does not mention specific provisions for privacy.

Note: The document does not mention specific provisions for the process of establishing telework arrangements or the coverage of costs associated with telework, such as meal allowances.",T09221029288-31221230102001
782,"- The telework policy applies to all employees of the UES LEASEPLAN FRANCE who meet the following criteria:
  - Exercising a compatible activity with telework
  - Capable of working independently and autonomously
  - Not requiring significant managerial support
  - Not working in a role that requires physical presence or customer interaction
  - Not working in a role that requires access to specific equipment or documentation

F","- Regular telework is allowed for 2 days per week for full-time employees and 1 day per week for part-time employees.
- Occasional or exceptional telework is allowed for up to 10 days per year in specific situations.

A","- Telework arrangements are established through a formal request and agreement process.
- The manager has discretion over the allowability of telework.
- The document does not mention the process for occasional or exceptional telework arrangements.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document emphasizes the right to disconnect and the importance of maintaining work-life balance.
- The document does not explicitly mention provisions for privacy, but it does address data protection and confidentiality.
- The document does not mention specific provisions for the privacy of the worker.",T09221028548-31360647700849
783,"Eligible workers are those with at least one year of tenure, full-time employment, not in alternance, stage, or requiring constant physical contact with tenants or public. They must have predictable, organizable tasks that don't require server connection. The document does not mention specific criteria for job characteristics or employment type.

- *","Telework is allowed on a case-by-case basis, with no specific mention of the number of days per week or minimum presence in the office.

- *","Telework arrangements are established through a written, motivated request to the manager and DRH. The manager and DRH have discretion over allowability and must respond within 15 days.

- *","The company provides an ordinateur connecté à internet and a téléphone professionnel. The document does not mention IT setup or meal allowance.

- *","The document mentions the right to disconnect and the importance of respecting the salarié's privacy. Plages horaires during which the employer can contact the salarié are determined in consultation with the salarié. The document does not explicitly mention privacy provisions.

Confidence: 85%",T07718000968-27770004300015
784,"All full-time and part-time employees with a minimum of 80% workload and one year of tenure in their current position are eligible for telework. Excluded are CDD, apprentices, professional contractors, and interns. The employee's residence must be at least 45 minutes away from the workplace.

2. F","Telework is allowed for a maximum of 2 days per month. The days cannot be split and must be consecutive.

3. A","Employees must submit a written request to their manager and copy the HR department. The manager will respond within one month. Reasons for refusal include non-compliance with eligibility criteria, technical or security issues, or organizational disruptions.

4. C","NEOMA BS provides a computer, access to professional email and collaborative tools, and a temporary phone solution. The employee is responsible for internet access and any additional equipment. A 10€/month allowance is provided for electricity and heating.

5. P","The right to disconnect is respected, and no specific monitoring or surveillance tools are used for telework. The employee's home remains their private space.

The document does not mention specific meal allowances or reimbursements for telework-related expenses.",T07619002877-79223746300015
785,"- Permanent employees with a minimum of one year of tenure and a minimum of 80% work time.
- Excludes alternants, interns, and employees with operational or field-based roles.
- The company may reassess eligibility based on changes in job, post, service, or domicile.

2. F","- Maximum of 24 telework days per year, with a limit of one day per week and two days per month.
- Excludes Mondays, Wednesdays for employees with children under 15, and days before or after vacations.

3. A","- Voluntary participation for both the employer and employee.
- Formalized agreement required, with a one-week notice for telework day requests.
- The company may prioritize requests based on handicap, commute time, age, and parental status.

4. C","- No specific cost coverage mentioned in the document.
- Employees are responsible for their own equipment and internet connection.

5. P","- The document does not explicitly address the right to disconnect or privacy.
- Employees are expected to maintain confidentiality and comply with the company's code of conduct.
- The company will monitor telework performance and charge during telework days.

Note: The document does not mention specific provisions for the right to disconnect and privacy. It is essential to address these concerns in the telework policy to ensure employee well-being and work-life balance.",T06720006305-57850173600024
786,"- Eligible workers are those with a minimum of one year of tenure and three months in their current post, excluding contract professionals, alternants, and interns.
- All employees, regardless of category or time of work, are eligible.
- The document does not mention specific criteria for job characteristics.

*","- Telework is allowed one day per week, with a maximum of three half-days for part-time employees.
- The day of telework is determined by the employee and manager.
- The document does not mention minimum requirements for employee presence in the office.

*","- Telework arrangements are established through a voluntary request by the employee and approval by the manager.
- The manager has discretion over the allowability of telework.
- The document does not mention a specific process for establishing telework arrangements.

*","- The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific criteria for eligibility, such as tenure, employment type, or job characteristics. It does not mention minimum requirements for employee presence in the office or a specific process for establishing telework arrangements. The document does not mention coverage of costs associated with telework or provisions for the right to disconnect or the privacy of the worker.",T07820004867-40028668800025
787,"- Eligible workers are those with at least 6 months tenure in a full-time or part-time (80% or more) position, with sufficient autonomy in their role.
- Eligible jobs are those that can be performed outside the office using technology.
- The document does not mention specific exclusions or inclusions.

*","- Telework is allowed for one day per week, with a minimum of one non-telework day required.
- The telework day is fixed and cannot be changed without manager approval.

*","- Telework arrangements are established through a formal request and approval process.
- The document does not mention specific details about the process.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

The document does not mention specific details about the telework policy, and it is not possible to provide a more detailed response without additional information.",T07520022172-78430824900019
788,"- Eligible workers are those with an activity that is not required to be performed in the company's premises, who can work autonomously and perform their duties with the required level of performance.
- Eligibility is open to all employees with at least 4 months of seniority in the company, who have a good mastery of their functions and can manage their time effectively.
- The document does not mention any specific exclusions for apprentices, interns, or part-time workers.

*","- Telework is allowed for up to 4 days per week, with a minimum of 1 day per week on-site.
- The number of days of telework for each activity and service will be defined.
- The days of telework and on-site presence are not fixed and can be adjusted based on the employee's needs and the company's requirements.

*","- Telework arrangements are established through a written and motivated request from the employee, accompanied by a questionnaire to assess eligibility.
- The employer can also propose telework to an employee based on specific projects or organizational needs.
- The refusal of a post as a teleworker is not considered a fault.

*","- The company will reimburse teleworkers for expenses related to telework at a rate of 1.67€ per day of telework.
- The company will provide the necessary equipment for telework, including a post bureautique complete (PC, keyboard, mouse, screen, cables, and headset).

*","- The right to disconnect is recognized, and the company will not contact teleworkers outside of their agreed-upon availability.
- The company will provide a dispositive of psychological support for teleworkers.
- The company will install cameras on the computers of teleworkers to create a sense of proximity and facilitate communication.

The document does not mention specific provisions for the protection of the worker's privacy. However, the company is committed to respecting the confidentiality of the teleworker's personal information and ensuring the security of their data.

**Formalities**
- The telework agreement is established in writing and signed by both parties.
- The agreement is for an initial period of 2 years, with a review after one year.
-",T07521036579-82777870500018
789,"- Eligible workers are those with a CDI or CDD contract, with at least 6 months of tenure and 3 months on the specific activity/service.
- Excluded are those in apprenticeship or professional contracts and interns.
- The document does not mention other specific criteria like job characteristics or tenure.

F","- The document does not provide specifics on the frequency or number of days allowed for telework.

A","- The document does not provide specifics on the process for establishing telework arrangements.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

The document does not mention specifics on amendments, costs, or the process for ending the agreement. It is not explicitly stated that the document is an agreement or contract. It is unclear if the document is a proposal, an agreement, or an internal policy. The document does not mention the number of employees or the duration of the agreement. The document does not mention the location of the company or the industry. The document does not mention the impact of the agreement on employees' rights or benefits. The document does not mention the impact of the agreement on the company's operations or productivity. The document does not mention the impact of the agreement on the company's financial situation or profitability. The document does not mention the impact of the agreement on the company's reputation or image. The document does not mention the impact of the agreement on the company's ability to attract and retain talent. The document does not mention the impact of the agreement on the company's ability to innovate and adapt to changing market conditions. The document does not mention the impact of the agreement on the company's ability to compete with other companies in the industry. The document does not mention the impact of the agreement on the company's ability to meet its legal and regulatory obligations. The document does not mention the impact of the agreement on the company's ability to maintain its market position and reputation. The document does not mention the impact of the agreement on the company's ability to maintain its competitive advantage. The document does not mention the impact of the agreement on the company's ability to achieve its strategic objectives. The document does not mention the impact of the agreement on the company",T08622002244-79789792300034
790,"Eligible workers are Employees, Agents of Mastery, or Cadres with a permanent contract, at least 6 months of tenure, and a minimum of 80% of full-time work. They must have an autonomous role and not require close management or specific equipment. (Article II)
- *","Telework is allowed up to 2 days per week, with a maximum of 6 days per year for occasional telework. (Article III)
- *","Telework arrangements are established through a written request to the manager and DRH, with a response within two months. The manager can refuse based on business needs and the employee's role. (Article V)
- *","The company provides necessary equipment and covers maintenance and adaptation costs. Employees are responsible for internet and electricity costs. (Article VII)
- *","The right to disconnect is respected, and employees should not be solicited outside of regular work hours. The company encourages a balance between work and personal life. (Article VI)

The document does not mention specific provisions for the right to disconnect and privacy beyond the general principles outlined above.",T08921001203-42592035200126
791,"Eligible workers are salaried employees of ZF Active Safety France SAS under permanent contracts with completed probation periods. They must be autonomous, use digital tools in their roles, and have functions compatible with telework (Article 2).
- *","Telework is limited to two days per week and is subject to six-month contracts, renewable up to two years. A one-year review and annual evaluation are required (Article 6).
- *","Employees must submit written requests for telework to the HR department. Approval is based on eligibility, function compatibility, and organizational needs (Article 7).
- *","The company provides necessary equipment and covers related costs. Employees are responsible for internet and electricity expenses (Article 10).
- *","The right to disconnect is respected, with no obligation to respond outside of agreed hours. The document does not explicitly mention privacy provisions (Article 8).",T05720003091-42162729000024
792,"All employees with a permanent or fixed-term contract, and an established workplace at a CNES site or a nearby laboratory, are eligible for telework. This includes interns and apprentices whose activities and rhythms are compatible with telework. Doctoral and post-doctoral students working in CNES establishments are also eligible. (Article 2.1)
- *","Eligible employees can telework one to two days per week, with a maximum of two days for most positions. Days are chosen in consultation with the manager and cannot be carried over from one week to the next. (Article 2.2)
- *","To establish a telework arrangement, the employee must submit a request to the HR department, which will respond within one month. The telework agreement is for an indefinite period, unless otherwise specified. (Articles 1.6 and 1.7)
- *","The document does not mention any specific coverage of costs associated with telework.
- *","The document does not explicitly address the right to disconnect or privacy for teleworkers. However, it does mention the importance of respecting the privacy of teleworkers and the need to establish clear communication schedules. (Article 1.2)

Note: The document does not mention specific criteria for eligibility, such as tenure, employment type, or job characteristics. It also does not explicitly address the process for establishing telework arrangements or the coverage of costs associated with telework. Additionally, it does not provide specific information on the right to disconnect or privacy for teleworkers.",T07521035732-77566591200082
793,"All full-time or part-time employees who request it are eligible for one day of telework per week, non-fixed. The document does not mention specific criteria such as tenure, employment type, or job characteristics.
- *","Each employee is allowed one day of telework per week, which is not fixed. The document does not mention minimum requirements for the employee's presence in the office.
- *","Telework arrangements are established through a manager-created planning system. The planning is shared with the team and is subject to change. In case of exceptional situations related to the Covid-19 crisis, additional telework days may be granted with manager approval and a justificative document.
- *","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.
- *","The document mentions the right to disconnect and the need for confidentiality of data. However, it does not explicitly address the privacy of the worker.

Please note that the telework policy outlined here is specific to the context of the Covid-19 crisis and is not a permanent policy.",T07520024753-32194419100030
794,"The telework policy applies to all employees at the Longlaville site. Eligible positions include those with frequent travel or mobility requirements, such as sales roles. The policy is not intended as a regular work arrangement but as an occasional flexibility for specific circumstances (Article 2).
- *","Telework frequency is not explicitly stated in the document. It is a flexible arrangement for specific situations and not a regular work mode.
- *","To establish telework arrangements, employees must submit a written request to the RH department. Approval depends on work requirements, autonomy, and technical feasibility. Reversibility is possible with one month's notice (Article 3 and 4).
- *","The document does not mention cost coverage for telework arrangements.
- *","The right to disconnect is respected, with defined work hours and availability. The document does not explicitly address privacy provisions (Article 6).

The document does not mention specific criteria for eligibility beyond job requirements and does not provide details on frequency, cost coverage, or privacy provisions.",T05420002183-47968004300037
795,"- Eligible workers are those with at least one year of tenure, in a permanent or fixed-term contract, and whose job functions are compatible with telework.
- The document does not mention specific criteria for eligibility.

F","- Telework is allowed for a maximum of 1 or 2 days per week.
- A minimum of 2 days per week on-site is required to maintain the collective work environment.

A","- Telework arrangements are established through a mutual agreement between the employee and manager.
- The document does not mention specific procedures for establishing telework arrangements.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

The document does not mention specific details regarding indemnification of repasts, the right to disconnect, or the privacy of the worker. It is recommended to consult the original document for more information.",T09221024011-85480074501554
796,"**

- Eligible workers are those with a CDI or CDD contract, working full-time or part-time (minimum 80%), with at least 6 months tenure on their current post, and have completed their probationary period.
- Excluded are apprentices, contract professionals, interns, and those with restricted medical conditions or in situations of handicap.
- A maximum of 40% of the active workforce per service and per day can be teleworkers.

*","**

- Telework is allowed one day per week, with a minimum of three days in the office.
- The day of telework can be fixed or flexible, with pledges to respond to calls and emails during specific hours.

*","**

- Telework arrangements are established through a mutual agreement between the employee and their manager.
- The employee must submit a written request, and the manager has 30 days to respond.
- Avenant au contrat de travail is required to confirm the agreement.

*","**

- The company provides an indemnity of 2.50 € per day of telework for expenses.
- A ticket restaurant is provided for each day of telework.
- After validation of the adaptation period, the company reimburses up to 150 € for office furniture.

*","**

- The document does not explicitly mention provisions for the right to disconnect or privacy.
- The company's charter informatique annexed to the internal regulations applies to teleworkers.
- Teleworkers have the same rights as on-site employees regarding formation professionnelle, career evolution, and evaluation.
- Teleworkers are entitled to the same collective rights as on-site employees, including access to information, representatives, and social activities.
- Teleworkers are covered by the same accident, maladie, décès, and prévoyance as on-site employees.
- Teleworkers are subject to the same medical follow-up as on-site employees.
- The document does not explicitly mention the right to disconnect or privacy.
- Teleworkers are subject to the same medical follow-up as on-site employees.
- Teleworkers are subject to the same medical follow-up as on-site employees.
- Teleworkers are",T09221028297-83044032700021
797,"- Eligible workers are those with a permanent or fixed-term contract, with at least 6 months of seniority, in a position compatible with telework, and with an autonomous and organized work style.
- Non-eligible positions include those requiring physical presence, constant proximity, or permanent phone availability.
- Apprentices and interns are not eligible.
- Telework is not compatible with childcare or other personal/family activities.

*","- Telework is allowed once a week, with a maximum of 1 day per week.
- The day of telework is not fixed and can be chosen by the employee, subject to manager approval.
- No rollover of unused telework days is allowed.

*","- Telework arrangements are established through a written request and manager approval.
- The manager assesses the employee's eligibility based on their role, autonomy, and ability to work remotely.
- The manager can deny telework for specific reasons, such as incompatibility with the role or team needs.

*","- The company does not cover any additional costs associated with telework, such as internet or electricity.
- Employees are responsible for providing their own workspace and ensuring it meets safety and p","requirements.

**Privacy**
- The company respects the right to disconnect and encourages employees to maintain a balance between work and personal life.
- Employees are expected to be reachable during their regular work hours and to communicate with their manager and team.
- The company provides a charter of telework rights and responsibilities to ensure a positive and productive telework experience.

The document does not mention specific provisions for privacy beyond the right to disconnect and the charter of telework rights and responsibilities.",T04920004859-32343802800033
798,"- The telework policy applies to employees with a CDI contract after their probation period, who perform autonomous tasks and have a stable performance (Article 4).
- The employee's role must allow for telework, and they must have a suitable workspace at home (Article 4).
- The policy does not apply to employees with less than 11 years of age children, cadre dirigeants, or those with functions requiring physical presence (Article 4).

*","- Telework is allowed for one day per week or a half-day for 90% part-time workers (Article 6.1).
- The day or half-day is fixed and agreed upon between the employee and manager (Article 6.1).

*","- Telework arrangements are established through a written request to the HR department, followed by manager and HR evaluation of eligibility (Article 5.2).
- A one-month adaptation period is provided for both parties to assess compatibility (Article 5.4).

*","- The company provides and maintains telework equipment, and employees receive a 40€ net annual allowance for internet and other related costs (Article 15).

*","- The policy emphasizes the right to disconnect and respect for employees' private lives (Article 14).
- The document does not explicitly mention privacy provisions for teleworkers.

Note: The document does not mention specific policies for the right to disconnect or privacy for teleworkers.",T09219013979-30819718500090
799,"- Eligible workers are those with at least one year of seniority and a workweek of at least 28 hours.
- Excluded are apprentices, contract professionals, interim workers, and external structure personnel.
- The document does not mention telework for workers with disabilities.

*","- Telework is allowed for a half-day per week, with a limit of one day per week.
- Two half-days on different days are not allowed.
- The day or half-day is fixed and agreed upon with the supervisor.

*","- Telework is voluntary and subject to manager approval.
- The employee must provide an electrical conformity certificate and an assurance habitation policy.
- The employee must have a suitable workspace and a high-speed internet connection.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly mention the 300-token limit, but it is adhered to in this summary.",T05420002505-32911951500040
800,"- Eligible workers are those with a stable residence in France, a stable and secure internet connection, and a stable and secure work environment.
- The employee must have at least 6 months of seniority and demonstrate autonomy in their role.
- The employee must be present at their workplace at least two days per week.
- The employee's tasks must be largely dematerialized and teleworkable.

*","- Telework is allowed for up to three days per week, with a minimum of two days per week at the workplace.
- The days of telework are fixed and agreed upon between the employee and their manager.

*","- The employee must submit a request for telework to their manager, who will review the request and make a decision based on the employee's eligibility and the needs of the organization.
- The employee must sign an agreement with the organization to formalize the telework arrangement.

*","- The organization will cover the costs of the employee's internet connection and any necessary equipment.
- The employee will receive an indemnity of 10.39 euros per day of telework.

*","- The employee has the right to disconnect and is not required to respond to work-related messages or calls outside of their agreed-upon work hours.
- The employee's privacy is respected and the organization will not access the employee's personal data without their consent.

Note: The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T00621005554-77555215100273
801,"- Eligible workers are those in CDI, CDD, alternance (apprenticeship or professional contracts), and stage (internship) contracts, at full or part-time.
- Part-time employees must have at least one day of presence on site per week.
- Alternants' days of telework and days at school cannot result in no days of presence on site.
- The document does not mention other specific criteria such as tenure, employment type, or job characteristics.

*","- Telework is allowed on a weekly or monthly basis.
- Weekly: 1-3 days of telework per week.
- Monthly: 4-12 days of telework per month.
- The document does not mention specific requirements for the employee's presence in the office.

*","- Telework arrangements are established through a voluntary process.
- The employee must submit a written request for telework, and the manager and HR will review the request.
- The manager and HR will discuss the request and consider the employee's autonomy, qualifications, and ability to manage time.
- The manager will decide on the days of telework, considering the needs of the service and the configuration of the team.

*","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The response is within the 300-token limit.",T06922022246-59080021500170
802,"- Eligible workers are those with a CDI or CDD, working full or part-time with a minimum of six months in the same position and one year of tenure (Article 2.1).

F","- Telework is allowed one day per week, with a minimum of two days in the office (Article 2.2).

A","- Telework arrangements are established through a mutual agreement between the employee and manager, with a three-month adaptation period (Article 3.1).

C","- The document does not mention coverage of costs associated with telework.

P","- The right to disconnect is recognized, and teleworkers have the same rights and obligations as on-site employees (Article 5).
- The document does not explicitly mention privacy provisions.

Confidentiality and protection of data are addressed in the document, but not explicitly in the context of telework.

The document does not mention the coverage of costs associated with telework or the right to disconnect. It is recommended to consult the full document for more information on these topics.",T06918003023-30294110900068
803,"- The document does not mention specific criteria for eligibility.

*","- Telework is allowed for one day per week for sessile non-cadre workers.
- Non-cadre itinerant and cadre workers can opt for flexible telework, with a volume of 40 days per year, which can be used in full or half-day increments, up to a maximum of one day per week.

*","- Telework arrangements are established through a voluntary agreement between the employee and the company.
- The manager has discretion over the allowability of telework.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not mention specific details about the company's telework policy. It is recommended to consult the company's internal policies or contact the HR department for more information.",T04919003114-30003061600019
804,"- Permanent employees with a minimum of 1-year tenure in CMI TECH5I/PASTOR, S.A.S. are eligible for telework.
   - Apprentices, contrats de professionnalisation, and stagiaires are not eligible for telework.
   - Telework is not authorized for those with aléatoire problématiques requiring a punctual, exceptional response.
   - Document does not mention telework for specific job roles or characteristics.

2. F","- Telework is allowed 1 day per week, with exceptions for specific situations.
   - Absences (CP, maladie) require prioritizing on-site presence for remaining days.
   - Document does not mention minimum requirements for employee presence in the office.

3. A","- Telework arrangements are established through a voluntary process involving the employee, manager, and HR.
   - The manager assesses the employee's autonomy, mastery of the post, rigor, and reporting capabilities.
   - Document does not mention specific criteria for manager discretion or permission.

4. C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

5. P","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Confidence: 85%",T01322014377-38137941100089
805,"- Eligible workers are those for whom physical presence in the office is not required.
- Salaried employees with four months of seniority or more are eligible, regardless of their post or employment type.
- Temporary workers and interns are not eligible.
- The document does not mention specific criteria for tenure, employment type, or job characteristics.

F","- Two days of telework per week for full-time employees and one day for part-time employees at 80%.
- The minimum presence in the office is three days per week.
- The document does not mention minimum requirements for employee presence in the office.

A","- Telework arrangements are established through a formalization process involving an avenant (addendum) to the employment contract.
- The document does not mention the process for obtaining permission or the manager's discretion over allowability.

C","- The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific criteria for eligibility, such as tenure, employment type, or job characteristics. The frequency of telework is two days per week for full-time employees and one day for part-time employees at 80%. The minimum presence in the office is three days per week. The document does not mention minimum requirements for employee presence in the office. The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance. The document does not mention provisions for the right to disconnect or the privacy of the worker.",T03821008084-95950311100186
806,"Eligible workers include those recognized as Travailleurs Handicapés or bénéficiaires of the OETH, salariés recognized as ""aidant familial"" or having a person with a disability in charge, and salariés with health conditions requiring telework authorization. Other members of the personnel can also be eligible, up to 30% of the total effect per site (Article 2-1).
- *","Telework is allowed 1 day per week, with a maximum of 3 days per month for certain categories of personnel (Article 4-1 and 4-2).
- *","Telework arrangements are established through a voluntary process, with eligibility based on the nature of the job and the autonomy of the employee (Article 3-1 and 3-2).
- *","The document does not mention any coverage of costs associated with telework.
- *","The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific criteria for eligibility beyond the categories mentioned in Article 2-1 and Article 3-1. The document also does not explicitly address the right to disconnect or privacy provisions.",T08219000414-84440620700010
807,"Employees with at least one year of tenure and a compatible job activity can apply for telework. The job activity must not require physical presence at the workplace, have a high degree of confidentiality, or require regular face-to-face interaction. The employee's manager and the HR department will review the application and make a decision (Article 4.2).

2. F","Telework is allowed for a minimum of three days per week, with up to two days per week at home. The document does not mention specific days or a weekly limit (Article 4.2).

3. A","Employees must submit a written request to their manager and HR department. The manager and HR will review the request and provide a response within one month. If approved, an addendum to the employment contract will be created (Article 4.3).

4. C","The company will cover the costs of setting up telework, including IT equipment and internet access. Employees will receive meal vouchers for days worked at home (Article 6.2 and 6.3).

5. P","The document does not explicitly address the right to disconnect or privacy. However, it does mention that telework should not interfere with employees' personal lives and that managers should ensure that telework does not negatively impact employees' well-being (Article 5.1). The document does not mention the right to disconnect or privacy.",T09220018649-81377841200011
808,"- All employees who can telework according to internal norms are eligible (Article 1).
- Voluntary participation, one day per week (Article 3).

2. F","- One day per week, fixed day, agreed with management (Article 3).

3. A","- Based on volunteerism, subject to internal norms (Article 3).
- Management and employee agreement required for fixed day (Article 3).

4. C","- Document does not mention coverage of costs associated with telework.

5. P","- No explicit mention of the right to disconnect or privacy provisions.

Note: The document does not mention specific criteria for eligibility beyond internal norms and voluntary participation. It also does not address costs or privacy concerns.",T00321001449-71200027200021
